Locality,Total Restaurants,Average Rating,Average Price Range
Cedar Falls,13,3.646153846153846,1.7692307692307692
Sarojini Nagar,13,1.5307692307692307,1.1538461538461537
South Extension 1,13,2.169230769230769,1.6153846153846154
"Qutab Plaza, DLF Phase 1",13,3.1076923076923078,1.5384615384615385
Sector 11,12,2.2916666666666665,1.5833333333333333
Chawri Bazar,12,3.8000000000000003,1.0
Pensacola,12,4.2,2.25
Sector 23,12,2.1750000000000003,1.8333333333333333
"Crown Interiorz Mall, Sector 35, Faridabad",12,2.5666666666666664,2.0833333333333335
"Ambience Mall, Vasant Kunj",12,3.4250000000000003,2.4166666666666665
Gomti Nagar,12,4.116666666666666,2.5
Sector 63,12,0.43333333333333335,1.25
"DLF Place Mall, Saket",12,3.6999999999999997,2.0833333333333335
Sector 28,11,2.5454545454545454,1.3636363636363635
Sector 86,11,3.1727272727272724,1.7272727272727273
Ashok Vihar Phase 3,11,3.3909090909090907,1.6363636363636365
Nizamuddin,10,2.56,1.3
Sector 48,10,2.29,1.5
Model Town 3,10,3.0100000000000002,1.4
DLF Phase 2,10,0.38,1.3
Pandara Road Market,10,3.8600000000000003,2.4
"Central Plaza Mall, Golf Course Road",10,3.5,2.0
JNU,10,2.5100000000000002,1.2
Patia,9,3.888888888888889,1.4444444444444444
Sector 2,9,1.0,1.6666666666666667
Race Course,9,3.9111111111111114,2.4444444444444446
Warner Robins,9,3.922222222222222,1.7777777777777777
Iowa City,9,4.188888888888889,2.111111111111111
Lado Sarai,9,0.7333333333333333,1.6666666666666667
"The Imperial, Janpath",9,3.5999999999999996,3.7777777777777777
Bhikaji Cama Place,9,2.7555555555555555,1.6666666666666667
Macon,9,4.366666666666666,2.2222222222222223
Sector 35,9,2.2,1.6666666666666667
Badarpur Border,9,1.911111111111111,1.1111111111111112
"Palate of Delhi, Chanakyapuri",9,0.7111111111111111,1.6666666666666667
"Vasant Square Mall, Vasant Kunj",9,3.322222222222222,2.0
Old Town,9,3.933333333333333,2.5555555555555554
White Town,8,3.625,3.0
"Ansal Plaza Mall, Khel Gaon Marg",8,3.75,2.875
South City 2,8,1.0875,1.5
Vadiwadi,8,4.075,2.375
Okhla Phase 1,8,0.4125,1.125
Tajganj,8,4.05,2.375
Narela,8,0.0,1.25
Cedar Rapids,8,4.125,2.0
"The India Mall, New Friends Colony",8,2.6,1.75
"Ganga Shopping Complex, Sector 29",8,2.8125,2.0
Dalton,8,4.0375,1.5
"Cross Point Mall, DLF Phase 4",8,3.9125,2.875
Sector 125,8,2.175,1.25
Alkapuri,8,4.1,2.75
Rajendra Place,8,1.7875,2.125
Patparganj,8,3.1875,1.5
"The Lalit New Delhi, Barakhamba Road",8,3.5375,3.625
"One Horizon Center, Golf Course Road",8,3.5625,2.5
Town Hall,8,3.8499999999999996,2.0
College Road,8,3.45,2.625
"DT City Centre Mall, MG Road",7,3.042857142857143,2.2857142857142856
"DLF South Square, Sarojini Nagar",7,2.557142857142857,1.7142857142857142
"The Taj Mahal Hotel, Mansingh Road",7,3.7857142857142856,4.0
Sunder Nagar,7,3.1714285714285713,2.857142857142857
Jubilee Hills,7,4.385714285714285,3.0
Waterloo,7,3.6571428571428575,1.7142857142857142
Sector 71,7,0.8571428571428571,1.2857142857142858
"Vyapar Kendra, Palam Vihar",7,2.4285714285714284,1.1428571428571428
Sector 59,7,1.6285714285714286,1.2857142857142858
